water_depth (m),weight (t),installation_date,type_of_production (1 oil and gas; 2 oil; 3 gas),number_of_legs,number_of_piles,height_of_jacket_or_sub-structure (m),distance_to_coast (km),risk_to_other_users-complete,risk_to_other_users-partial,risk_to_personnel-complete,risk_to_personnel-partial,energy_consumption-complete (GJ),energy_consumption-partial (GJ),emissions-complete (t),emissions-partial (t),impacts_of_option-complete,impacts_of_option-partial,technical_feasibility_or_challenge-complete,technical_feasibility_or_challenge-partial,commercial_impact_on_fisheries-complete,commercial_impact_on_fisheries-partial,wider_community_impact-complete,wider_community_impact-partial,total_removal_cost-complete,total_removal_cost-partial
106,15625,41,2,8,30,120.058,127,0,1.4844431400299071e-05,0.03,0.019,598550,547904,34884,33248,0.054,1,0.499,0.564,0.208,0.289,0.454,0.401,0.765,0.995
101,13780,32,1,8,10,122.398,271,0,1.1900156736373902e-08,0.078,0.069,733857,466553,45779,35048,0.0,1,0.198,0.431,0.076,0.05,0.159,0.079,0.999,0.735
116,11086,45,3,8,29,158.34,120,0,2.2801537930965425e-05,0.03,0.118,323683,504134,25023,31758,0.002,1,0.5,0.939,0.118,0.167,0.232,0.143,0.531,0.999
99,23437,35,1,8,5,114.003,281,1,0.0,0.32,0.154,1129206,879566,90526,62988,0.0,1,0.0,1.0,0.998,0.94,0.963,0.423,1.0,0.416
148,26537,44,2,8,30,148.254,148,0,8.717636287212372e-06,0.074,0.028,690327,690880,67865,55221,0.421,1,0.497,0.958,0.577,0.289,0.703,0.79,0.97,0.58
99,17449,38,1,4,5,114.123,281,1,0.0,0.32,0.159,884007,855100,80819,60621,0.0,1,0.0,1.0,0.989,0.937,0.887,0.596,1.0,0.415
99,22648,35,1,8,5,114.024,281,1,0.0,0.32,0.16,1162418,894062,91769,63928,0.0,1,0.0,1.0,1.0,0.94,0.782,0.855,1.0,0.41
99,19812,37,1,8,5,114.685,281,1,6.854534149169922e-13,0.317,0.154,1111219,858143,84861,61903,0.0,1,0.0,1.0,0.905,0.921,0.593,0.361,1.0,0.505
137,13156,38,1,4,14,156.276,229,0,1.4760573029518128e-05,0.026,0.013,317991,449962,26048,31241,0.331,1,0.131,0.997,0.973,0.851,0.92,0.796,0.907,0.922
136,10930,34,1,4,6,158.942,244,0,2.028189480304718e-06,0.03,0.043,337519,442742,25806,31425,0.014,1,0.028,0.995,0.877,0.733,0.604,0.375,0.946,0.545
151,11998,37,3,4,19,164.356,120,0,1.1965548992156986e-07,0.271,0.159,399313,468849,31771,43247,0.0,0,0.46,0.555,0.0,0.0,0.017,0.013,0.564,0.637
155,26120,45,3,8,26,165.937,192,0,2.0280781626701357e-05,0.038,0.073,322556,486656,31612,51358,0.888,1,0.499,0.999,0.936,0.099,0.805,0.907,0.869,0.419
99,10471,31,1,4,5,115.107,281,1,3.907084465026856e-11,0.04,0.018,503280,438863,33799,31542,0.0,1,0.0,1.0,0.984,0.927,0.249,0.19,1.0,0.467
131,10333,36,1,4,5,155.161,154,1,1.3530850410461423e-09,0.309,0.159,393971,489590,28396,34347,0.0,1,0.0,1.0,0.384,0.59,0.255,0.197,0.954,0.732
149,15344,33,1,4,5,161.779,281,1,1.2936562299728392e-08,0.033,0.017,329638,458810,32518,33249,0.043,1,0.0,1.0,1.0,0.938,0.907,0.963,1.0,0.411
134,19133,33,3,8,23,162.215,171,0,2.9234588146209717e-09,0.078,0.151,442626,448691,33875,42647,0.0,0,0.5,0.166,0.001,0.0,0.011,0.011,0.997,0.433
155,26795,45,2,8,31,165.381,179,0,2.2999712109565733e-05,0.025,0.01,299336,481451,24718,31508,1.0,1,0.499,1.0,1.0,0.94,1.0,1.0,0.875,0.823
145,27171,37,1,8,31,151.637,281,0,5.4928123950958255e-08,0.025,0.01,543030,468070,61119,38920,0.992,1,0.5,0.711,0.943,0.139,0.901,0.967,1.0,0.415
125,12414,32,1,4,5,127.245,281,1,0.0,0.312,0.154,582871,715834,76809,50345,0.0,1,0.0,1.0,1.0,0.94,0.592,0.873,1.0,0.41
154,19896,39,1,8,7,164.815,207,0,2.4107396602630612e-09,0.287,0.157,701271,628788,73474,59598,0.0,0,0.052,0.993,0.096,0.017,0.173,0.354,0.988,0.413
99,23906,37,1,8,5,114.05,281,1,0.0,0.319,0.149,1170876,890229,91615,63651,0.0,1,0.0,1.0,0.987,0.939,0.579,0.377,1.0,0.455
155,25029,41,3,8,20,165.95,254,0,1.0539874434471133e-07,0.074,0.139,359293,476395,39725,57852,0.013,0,0.5,0.95,0.039,0.0,0.091,0.263,0.997,0.41
148,25641,32,1,8,23,156.738,276,0,2.0769238471984862e-10,0.114,0.094,848897,529016,77756,59737,0.0,1,0.499,0.24,0.009,0.0,0.043,0.068,1.0,0.411
115,25943,43,1,8,31,115.883,280,0,4.855478495359421e-06,0.025,0.01,702088,609838,68483,35783,0.992,1,0.481,0.997,0.999,0.918,0.981,0.99,1.0,0.818
99,18908,31,1,8,6,114.187,281,1,0.0,0.068,0.021,1120392,583886,84445,48939,0.0,1,0.002,0.832,0.246,0.237,0.092,0.083,1.0,0.446
155,11713,45,3,8,23,165.884,120,0,2.299982178211212e-05,0.025,0.011,298460,448303,24325,31097,0.996,1,0.152,1.0,1.0,0.939,0.999,0.998,0.531,0.974
102,26498,36,1,8,31,116.618,276,0,3.943331241607666e-07,0.026,0.011,723437,538358,55595,40269,0.552,1,0.5,0.188,0.444,0.081,0.646,0.516,1.0,0.767
155,25163,45,2,8,31,165.645,190,0,2.299795323610306e-05,0.025,0.01,301814,492885,25317,31812,1.0,1,0.496,1.0,1.0,0.938,0.999,0.999,0.792,0.806
139,27642,44,1,8,31,153.813,281,0,1.241776317358017e-06,0.025,0.01,343331,483708,42162,48773,1.0,1,0.5,0.512,0.99,0.052,0.981,0.99,1.0,0.423
99,16327,31,1,8,5,114.378,281,1,0.0,0.309,0.117,1001477,799433,83960,60562,0.0,1,0.0,1.0,1.0,0.94,0.528,0.511,1.0,0.41
101,17342,40,1,8,18,114.289,142,0,1.931676268577576e-08,0.278,0.103,1165329,772363,87857,49489,0.0,1,0.011,0.781,0.078,0.324,0.22,0.192,0.975,0.985
106,25125,37,1,8,16,114.741,277,1,1.7753243446350094e-10,0.289,0.073,1155292,833966,90227,61463,0.0,1,0.017,0.761,0.168,0.222,0.343,0.373,1.0,0.488
138,10063,31,1,4,5,159.975,281,1,1.0058343410491944e-08,0.026,0.013,302071,435009,24587,31067,0.0,1,0.0,1.0,1.0,0.94,0.849,0.97,1.0,0.431
99,12426,32,1,8,5,114.877,281,1,2.467632293701172e-11,0.267,0.093,959052,733471,77657,50509,0.0,1,0.0,1.0,0.994,0.938,0.418,0.393,1.0,0.507
99,26560,43,1,8,5,114.011,281,1,0.0,0.32,0.159,1178899,895208,91973,63987,0.0,1,0.0,1.0,0.995,0.94,0.654,0.489,1.0,0.465
139,10217,37,2,8,6,158.225,121,0,6.784268319606781e-06,0.239,0.158,571535,497912,32048,33079,0.0,1,0.001,0.999,0.028,0.108,0.049,0.122,0.539,0.984
141,10092,31,1,4,5,164.101,214,1,1.0281801223754882e-11,0.294,0.16,300127,435282,24360,31164,0.0,1,0.0,1.0,0.34,0.426,0.388,0.224,0.997,0.448
99,23136,31,1,8,30,116.557,267,0,1.3709068298339844e-11,0.09,0.035,1053354,548635,82122,51847,0.0,1,0.5,0.151,0.001,0.0,0.026,0.012,1.0,0.592
143,19423,34,2,8,21,158.89,216,0,3.7625908851623534e-08,0.097,0.116,587550,505937,58292,48583,0.001,0,0.498,0.415,0.009,0.002,0.04,0.062,0.994,0.461
126,10873,33,1,4,5,142.13,275,1,1.154303550720215e-09,0.242,0.152,551572,495429,39368,34411,0.0,1,0.0,1.0,0.874,0.885,0.418,0.446,0.997,0.454
154,22684,36,1,4,11,165.647,281,0,3.275555670261383e-07,0.025,0.01,303735,435884,26231,31766,0.968,1,0.474,0.999,0.999,0.6,0.961,0.984,1.0,0.41
99,18005,36,1,8,5,114.133,279,1,7.539987564086915e-12,0.318,0.15,1170152,882197,91441,63009,0.0,1,0.0,1.0,0.988,0.939,0.387,0.369,1.0,0.648
104,18357,36,1,8,5,115.914,281,1,9.596347808837891e-12,0.315,0.151,1094042,860068,87510,60366,0.0,1,0.0,1.0,0.999,0.939,0.564,0.578,1.0,0.417
99,10807,31,1,4,5,114.091,281,1,0.0,0.152,0.026,513009,450059,35738,31880,0.0,1,0.0,0.978,0.73,0.773,0.345,0.133,1.0,0.461
123,10212,31,1,4,5,156.721,281,1,4.112720489501953e-12,0.092,0.092,308206,436224,25262,31177,0.0,1,0.0,1.0,1.0,0.939,0.783,0.705,1.0,0.41
154,25946,45,2,8,31,162.888,186,0,2.2916961431503297e-05,0.026,0.011,343858,552794,32607,36750,0.999,1,0.5,0.999,0.999,0.889,0.988,0.992,0.887,0.749
150,10617,31,1,4,5,165.823,281,0,3.246636390686035e-07,0.025,0.014,299954,433760,24632,31135,0.133,1,0.003,1.0,0.999,0.881,0.888,0.886,1.0,0.415
155,10124,45,2,8,16,162.013,120,0,2.2999802589416504e-05,0.025,0.011,302589,446444,24338,31069,0.799,1,0.0,1.0,1.0,0.94,0.995,0.994,0.53,0.999
102,10333,44,1,8,30,114.349,120,0,2.2977900981903075e-05,0.028,0.011,487744,573174,26550,31101,0.019,1,0.216,0.989,0.82,0.925,0.894,0.607,0.53,1.0
99,22195,43,1,8,10,114.093,159,1,7.471442222595215e-11,0.319,0.152,1173106,880227,91189,63296,0.0,1,0.0,0.973,0.136,0.545,0.301,0.148,0.999,0.925
108,26480,45,1,8,10,114.337,211,1,2.431988716125488e-09,0.317,0.145,1176500,888254,91798,63739,0.0,1,0.0,1.0,0.787,0.902,0.554,0.676,0.995,0.659
147,10732,45,3,8,11,151.748,120,0,2.11240291595459e-05,0.263,0.158,826584,621324,45548,36894,0.0,0,0.002,1.0,0.084,0.373,0.153,0.147,0.53,0.996
102,19450,31,1,8,11,121.17,281,0,5.744099617004393e-10,0.107,0.035,820682,499693,72111,45326,0.001,1,0.344,0.301,0.111,0.026,0.222,0.14,1.0,0.446
107,10134,40,1,8,12,120.176,120,0,7.399917900562286e-06,0.277,0.155,950473,628502,45029,33047,0.0,1,0.0,0.996,0.005,0.225,0.048,0.077,0.531,1.0
143,11381,33,1,4,5,142.306,281,1,4.0647387504577637e-10,0.11,0.055,581004,542168,57782,33442,0.0,1,0.0,1.0,1.0,0.94,0.81,0.947,1.0,0.412
155,13067,45,3,8,31,165.648,120,0,2.2999490022659305e-05,0.032,0.131,306681,635061,24535,33475,0.024,0,0.498,1.0,0.629,0.656,0.779,0.836,0.53,0.998
101,13248,33,1,8,21,122.674,267,0,4.40973636507988e-06,0.026,0.013,426099,441412,31704,31319,0.096,1,0.488,0.649,0.616,0.266,0.625,0.359,0.995,0.978
100,22985,44,1,8,5,114.305,270,1,0.0,0.32,0.16,1166158,891101,91521,63878,0.0,1,0.0,1.0,0.564,0.882,0.237,0.373,1.0,0.5
155,27319,45,3,8,28,165.999,279,0,2.170941185951233e-05,0.025,0.015,300016,447685,27379,44219,1.0,1,0.5,1.0,1.0,0.183,0.988,0.998,0.997,0.41
122,10167,33,1,4,5,160.718,243,1,2.0220875740051268e-10,0.268,0.159,333117,445331,26316,31675,0.0,1,0.0,1.0,0.225,0.326,0.263,0.165,0.994,0.666
117,22012,38,1,8,29,149.909,261,0,6.657579392194748e-06,0.026,0.014,404975,464399,34534,34176,0.587,1,0.5,0.649,0.729,0.196,0.666,0.584,0.996,0.766
155,27439,45,2,8,31,164.485,189,0,2.2999547600746155e-05,0.025,0.01,300972,537090,25143,32209,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.955,0.891
124,27468,40,1,8,31,119.836,281,0,2.1844029426574706e-08,0.029,0.01,1050223,699186,87774,58121,0.908,1,0.5,0.736,0.89,0.285,0.88,0.955,1.0,0.44
99,20081,36,1,8,5,114.282,281,1,1.3709068298339844e-12,0.315,0.142,1160428,864631,91107,62203,0.0,1,0.0,1.0,0.949,0.928,0.339,0.505,1.0,0.442
99,19494,34,1,8,5,114.108,281,1,0.0,0.32,0.16,1150846,892878,91361,63820,0.0,1,0.0,1.0,1.0,0.94,0.72,0.831,1.0,0.41
99,16406,33,1,8,5,114.381,281,1,8.225440979003906e-12,0.296,0.097,1074569,754552,84881,54823,0.0,1,0.0,0.999,0.797,0.867,0.383,0.375,1.0,0.492
100,10337,36,1,8,15,118.416,120,0,1.906224149465561e-05,0.043,0.064,614777,495676,31673,31709,0.0,1,0.134,0.879,0.092,0.364,0.144,0.081,0.548,0.999
130,10541,31,1,4,5,158.373,281,1,4.3937563896179197e-10,0.165,0.132,350235,449189,29606,32699,0.0,1,0.0,1.0,0.976,0.848,0.374,0.467,1.0,0.413
115,12931,32,1,8,10,148.212,203,0,2.4609148502349853e-08,0.154,0.144,508635,457812,38218,36365,0.0,1,0.419,0.464,0.015,0.009,0.07,0.032,0.984,0.681
99,24397,33,1,8,5,114.002,281,1,0.0,0.32,0.141,1163252,890191,91170,63743,0.0,1,0.0,1.0,0.999,0.94,0.864,0.458,1.0,0.412
99,26351,31,1,8,26,114.056,281,0,0.0,0.071,0.012,1170469,711868,91513,60038,0.0,1,0.464,0.167,0.013,0.01,0.057,0.071,1.0,0.445
99,26076,39,1,8,5,114.004,281,1,0.0,0.32,0.154,1178423,894632,91955,63974,0.0,1,0.0,1.0,0.999,0.94,0.681,0.655,1.0,0.411
110,17842,38,1,8,27,122.708,123,0,8.76009464263916e-10,0.3,0.151,985448,596757,71837,56156,0.0,0,0.464,0.168,0.0,0.001,0.042,0.013,0.985,0.768
116,27304,41,1,8,18,117.505,280,1,1.233816146850586e-11,0.309,0.128,1175589,878469,91835,63911,0.0,1,0.042,0.965,0.154,0.084,0.193,0.369,1.0,0.414
99,11000,31,1,8,8,115.496,280,0,7.403582334518433e-09,0.032,0.013,633517,449137,36270,31571,0.001,1,0.023,0.689,0.49,0.531,0.196,0.165,1.0,0.783
99,11473,31,1,4,18,114.439,276,0,0.0,0.146,0.085,561291,443608,33108,31655,0.0,1,0.239,0.151,0.001,0.003,0.149,0.032,1.0,0.817
132,12167,35,1,4,5,148.309,281,1,1.0990560054779053e-08,0.049,0.023,396936,512400,36186,32804,0.001,1,0.0,1.0,1.0,0.94,0.916,0.95,1.0,0.416
101,15619,40,1,8,22,114.908,209,0,1.1722277462482452e-05,0.03,0.011,849919,562297,59029,33445,0.365,1,0.02,0.997,0.968,0.926,0.799,0.834,0.966,0.989
134,20875,44,2,8,28,155.54,172,0,2.13793523311615e-05,0.026,0.019,395486,541425,33486,34365,0.791,1,0.498,0.979,0.887,0.659,0.817,0.872,0.885,0.929
99,14110,31,1,8,8,114.509,281,1,1.1241436004638671e-10,0.046,0.016,988173,484663,72702,38377,0.0,1,0.009,0.755,0.388,0.362,0.102,0.082,1.0,0.694
99,26214,44,1,8,5,114.063,279,1,6.854534149169922e-13,0.32,0.157,1179763,894515,91986,63965,0.0,1,0.0,1.0,0.951,0.937,0.339,0.689,1.0,0.553
141,24396,42,1,8,20,136.527,259,0,3.887555897235871e-07,0.153,0.065,1015985,755195,83222,57500,0.128,1,0.156,0.989,0.81,0.559,0.559,0.819,0.994,0.486
155,17402,44,1,4,10,165.999,281,0,2.103936332464218e-05,0.025,0.01,297680,433538,24293,31073,1.0,1,0.041,1.0,1.0,0.94,1.0,1.0,1.0,0.41
101,19012,31,1,8,12,122.207,279,0,1.7684698104858399e-10,0.048,0.045,805518,462282,67012,39626,0.0,1,0.466,0.167,0.014,0.004,0.098,0.034,1.0,0.495
126,10488,31,1,4,5,147.303,281,1,0.0,0.163,0.087,317612,442564,29417,31699,0.0,1,0.0,1.0,1.0,0.936,0.704,0.797,1.0,0.41
101,24076,31,1,8,27,121.715,281,0,1.4613866806030272e-09,0.025,0.01,705521,446714,62163,36308,0.353,1,0.5,0.211,0.31,0.013,0.329,0.377,1.0,0.424
99,13450,31,1,8,5,114.017,281,1,0.0,0.308,0.069,968773,626961,80779,42228,0.0,1,0.0,1.0,0.995,0.939,0.853,0.397,1.0,0.411
119,10066,31,1,4,5,163.913,282,1,0.0,0.042,0.08,297893,433230,24319,31067,0.0,1,0.0,1.0,1.0,0.94,0.794,0.767,1.0,0.41
99,19692,31,1,8,28,114.829,281,0,4.1812658309936515e-11,0.025,0.01,841995,436644,69833,32572,0.011,1,0.5,0.151,0.016,0.001,0.029,0.053,1.0,0.47
101,19073,37,1,8,5,114.907,278,1,5.641281604766845e-10,0.301,0.134,1131604,847073,89625,61063,0.0,1,0.0,1.0,0.988,0.937,0.31,0.547,0.999,0.542
99,14337,31,1,8,8,114.035,281,1,0.0,0.272,0.042,1089071,654957,80497,45001,0.0,1,0.0,0.663,0.068,0.444,0.128,0.108,1.0,0.794
129,20637,33,1,8,5,138.216,281,1,4.592537879943848e-11,0.108,0.033,853436,651653,86528,51844,0.0,1,0.0,1.0,0.999,0.919,0.685,0.786,1.0,0.411
104,10341,31,1,4,5,133.915,281,1,0.0,0.285,0.157,310609,441309,24950,31383,0.0,1,0.0,0.999,0.575,0.65,0.621,0.283,1.0,0.421
155,27598,45,3,8,31,165.979,208,0,2.298218506574631e-05,0.025,0.011,299319,483298,25373,43874,1.0,1,0.5,1.0,0.999,0.584,0.998,0.998,0.992,0.439
108,12652,31,1,4,6,139.965,281,1,1.8335878849029542e-09,0.101,0.065,502562,461992,47581,34152,0.0,1,0.009,0.966,0.676,0.38,0.375,0.421,1.0,0.439
152,19252,44,3,8,29,163.367,120,0,2.04120569229126e-05,0.095,0.14,438787,603186,33291,48431,0.008,0,0.499,0.95,0.088,0.041,0.218,0.207,0.543,0.797
141,19819,44,1,8,31,148.584,236,0,2.297751986980438e-05,0.025,0.01,309390,447429,25145,31157,1.0,1,0.493,1.0,1.0,0.938,0.998,0.997,0.97,0.967
155,27472,45,3,8,31,165.968,120,0,1.646395355463028e-05,0.031,0.144,316294,631408,27065,62492,0.02,0,0.5,0.992,0.074,0.001,0.326,0.318,0.658,0.418
99,14704,31,1,8,5,114.249,281,1,0.0,0.166,0.025,915309,522594,70809,40172,0.0,1,0.0,0.959,0.584,0.684,0.376,0.18,1.0,0.431
154,10233,32,1,4,5,165.85,226,1,3.4731924533843996e-09,0.228,0.16,306862,441546,25793,32567,0.0,1,0.0,1.0,0.676,0.209,0.105,0.242,0.908,0.416
99,13494,31,1,8,5,114.011,281,1,0.0,0.32,0.145,1107451,841166,87163,60701,0.0,1,0.0,1.0,1.0,0.94,0.651,0.388,1.0,0.411
122,10284,31,1,4,5,154.536,282,1,0.0,0.061,0.047,312673,438127,30691,31475,0.0,1,0.0,1.0,1.0,0.939,0.563,0.769,1.0,0.41
115,10303,31,1,4,5,138.917,281,1,1.3709068298339844e-11,0.113,0.092,365719,444729,30303,31512,0.0,1,0.0,1.0,0.997,0.936,0.55,0.725,1.0,0.412
99,14137,34,1,4,5,114.22,281,1,0.0,0.32,0.16,1001716,864958,87442,61886,0.0,1,0.0,1.0,1.0,0.94,0.919,0.932,1.0,0.41
127,11120,32,1,4,5,145.229,280,1,7.89642333984375e-10,0.227,0.129,436205,485740,35012,34458,0.0,1,0.0,0.999,0.927,0.796,0.377,0.472,0.999,0.428
99,14065,32,1,8,16,115.262,270,0,4.030616879463196e-07,0.041,0.014,893955,492803,61878,34364,0.008,1,0.17,0.552,0.409,0.407,0.386,0.264,0.997,0.976
104,14217,33,1,4,5,117.263,281,1,6.854534149169922e-13,0.314,0.149,747931,783668,77743,53149,0.0,1,0.0,1.0,0.998,0.939,0.644,0.76,1.0,0.412
155,21984,44,1,8,18,165.314,267,0,1.5172836244106291e-05,0.03,0.018,335001,494430,35133,37295,0.954,1,0.234,1.0,0.999,0.807,0.934,0.98,0.969,0.447
103,11266,31,1,4,5,119.75,281,1,8.431077003479004e-11,0.143,0.046,675364,502615,54921,33594,0.0,1,0.0,1.0,0.991,0.932,0.363,0.565,1.0,0.429
154,26681,45,1,8,27,157.066,281,0,1.9293525815010072e-06,0.031,0.011,546990,668863,64959,44536,0.974,1,0.093,1.0,1.0,0.932,0.981,0.997,1.0,0.434
122,19910,40,1,8,10,131.861,209,1,2.9700011014938357e-08,0.293,0.147,1040668,779653,79538,58857,0.0,1,0.011,0.965,0.224,0.299,0.229,0.289,0.987,0.571
154,17914,45,2,8,25,164.95,152,0,2.2853212893009187e-05,0.026,0.013,310018,483151,25944,31944,0.983,1,0.397,1.0,0.998,0.915,0.98,0.981,0.72,0.755
130,23665,35,1,8,25,144.701,281,0,4.821595847606659e-07,0.027,0.012,459986,466034,47711,34708,0.888,1,0.496,0.714,0.894,0.275,0.775,0.828,1.0,0.459
134,26194,39,1,8,7,119.501,281,1,6.854534149169922e-13,0.305,0.129,1155009,854370,91603,63522,0.0,1,0.001,0.998,0.512,0.215,0.298,0.621,1.0,0.411
101,12021,35,1,4,5,115.406,281,1,0.0,0.319,0.159,898907,755394,65959,50935,0.0,1,0.0,1.0,0.991,0.939,0.609,0.613,1.0,0.43
155,26516,45,3,8,31,166.0,120,0,2.2999983549118043e-05,0.027,0.092,298297,650199,24404,47971,0.963,0,0.5,1.0,0.997,0.806,0.995,0.997,0.53,0.791
144,23918,44,2,8,31,149.899,155,0,2.050452184677124e-05,0.028,0.014,383989,539969,30029,35426,0.837,1,0.499,0.92,0.894,0.628,0.894,0.906,0.941,0.866
121,15605,32,1,8,5,133.051,281,1,5.826354026794434e-11,0.157,0.05,711181,529327,70642,40555,0.0,1,0.001,0.997,0.936,0.682,0.294,0.6,1.0,0.412
103,16725,32,1,8,28,133.647,257,0,4.208683967590332e-10,0.104,0.108,825328,453167,56711,41549,0.0,1,0.5,0.152,0.0,0.0,0.013,0.014,1.0,0.541
106,10090,31,1,4,5,149.169,281,1,0.0,0.122,0.115,300658,434180,24551,31097,0.0,1,0.0,1.0,1.0,0.94,0.739,0.737,1.0,0.41
99,10942,32,1,8,10,116.164,185,0,1.555602252483368e-07,0.096,0.079,863342,498138,52269,32592,0.0,1,0.075,0.385,0.02,0.124,0.136,0.089,0.97,0.992
111,18717,36,1,8,6,117.5,276,1,3.427267074584961e-12,0.314,0.148,999740,760100,85270,58969,0.0,1,0.0,0.995,0.25,0.181,0.348,0.223,1.0,0.428
99,11707,32,1,8,22,118.137,141,0,6.195813417434692e-09,0.113,0.124,727288,465021,46559,35016,0.0,1,0.486,0.155,0.001,0.002,0.027,0.01,0.988,0.978
107,27439,33,1,8,28,115.027,281,0,3.427267074584961e-12,0.175,0.032,1164451,823354,91522,63450,0.0,1,0.497,0.168,0.012,0.001,0.077,0.09,1.0,0.413
155,27542,45,1,8,31,160.346,276,0,2.2559465944767e-05,0.025,0.01,332116,567798,32609,38358,1.0,1,0.5,1.0,1.0,0.924,0.999,0.999,1.0,0.51
155,27615,45,3,8,31,164.862,136,0,2.250313264131546e-05,0.025,0.01,302303,589543,25487,45758,0.997,1,0.5,0.998,0.993,0.472,0.99,0.988,0.992,0.549
137,16333,45,3,8,31,124.555,120,0,2.297838628292084e-05,0.028,0.013,394937,600970,26590,31940,0.54,1,0.497,0.994,0.888,0.901,0.933,0.924,0.531,0.999
155,24456,45,2,8,24,165.484,247,0,1.9196972846984866e-05,0.031,0.019,331630,496596,32313,42629,0.971,1,0.485,0.999,0.986,0.604,0.917,0.964,0.959,0.434
116,26255,31,1,8,28,133.395,281,0,1.5258193016052244e-09,0.027,0.012,898482,471380,78942,47578,0.275,1,0.5,0.19,0.141,0.003,0.135,0.255,1.0,0.413
109,18556,35,1,8,11,120.194,275,1,8.541160821914672e-08,0.152,0.049,987919,648481,76210,48467,0.004,1,0.032,0.967,0.54,0.635,0.316,0.408,0.998,0.551
103,27021,35,1,8,31,115.442,274,0,2.2787898778915404e-08,0.036,0.012,1032823,642629,82045,51797,0.115,1,0.5,0.18,0.091,0.031,0.369,0.338,1.0,0.712
99,23448,38,1,8,6,114.044,272,1,8.910894393920899e-12,0.318,0.139,1173318,887054,91414,63411,0.0,1,0.0,0.999,0.477,0.908,0.409,0.172,1.0,0.903
143,27285,45,1,8,31,121.589,153,0,1.1779888451099396e-05,0.028,0.011,539847,701657,49925,42747,0.938,1,0.5,0.968,0.983,0.862,0.988,0.99,0.996,0.899
150,15896,37,1,4,7,163.685,281,0,1.0233785212039949e-06,0.03,0.021,352147,460791,35256,33256,0.332,1,0.046,1.0,0.997,0.882,0.824,0.899,0.999,0.433
106,15979,32,3,8,29,149.658,124,0,2.9316842555999756e-09,0.065,0.145,628882,481087,40400,43937,0.0,0,0.5,0.152,0.0,0.0,0.002,0.001,0.988,0.73
103,14508,31,1,8,21,146.557,261,0,1.9686222076416013e-09,0.03,0.099,514580,444065,40042,34858,0.0,1,0.5,0.154,0.002,0.0,0.014,0.011,1.0,0.527
155,27592,45,1,8,31,165.787,281,0,2.2448826909065248e-05,0.025,0.01,301173,474239,26485,37161,1.0,1,0.5,1.0,1.0,0.909,0.999,1.0,1.0,0.415
122,21890,32,1,8,18,136.244,281,0,4.743337631225586e-10,0.056,0.039,845522,482905,63989,45890,0.005,1,0.459,0.334,0.127,0.018,0.165,0.231,1.0,0.412
155,14520,35,1,4,5,165.905,281,1,1.9431233406066892e-08,0.035,0.043,314440,442729,29165,32385,0.08,1,0.012,1.0,0.999,0.782,0.829,0.947,1.0,0.41
99,27028,32,1,8,30,114.0,281,0,0.0,0.278,0.022,1179130,813315,91751,61805,0.0,1,0.442,0.15,0.0,0.0,0.04,0.004,1.0,0.925
102,24559,34,1,8,5,114.702,281,1,0.0,0.315,0.121,1137494,862806,91210,63417,0.0,1,0.0,1.0,0.979,0.874,0.416,0.69,1.0,0.41
155,21276,45,3,8,21,165.993,120,0,1.9113137781620024e-05,0.132,0.159,348562,549635,31232,58187,0.003,0,0.499,1.0,0.052,0.002,0.117,0.276,0.536,0.42
102,21110,40,1,8,13,114.703,196,1,9.536713361740112e-09,0.308,0.12,1135814,833470,88478,60829,0.0,1,0.001,0.988,0.47,0.648,0.355,0.353,0.994,0.816
100,15511,34,1,8,24,115.244,148,0,2.625972032546997e-09,0.233,0.127,1035452,543612,64838,43156,0.0,1,0.442,0.157,0.001,0.004,0.064,0.026,0.996,0.958
155,27645,45,3,8,31,165.315,274,0,4.043409496545792e-06,0.025,0.01,325689,568739,36478,59579,1.0,1,0.5,0.975,0.993,0.143,0.99,0.994,1.0,0.412
104,17059,40,1,8,8,115.786,147,1,9.461793303489685e-08,0.292,0.139,1121641,800545,84458,55582,0.0,1,0.0,0.994,0.418,0.664,0.287,0.224,0.924,0.904
118,12653,40,2,8,19,146.186,145,0,1.0409228384494782e-05,0.053,0.078,495656,469979,32306,33364,0.012,1,0.434,0.886,0.163,0.184,0.288,0.24,0.707,0.898
99,11614,31,1,4,5,114.085,282,1,0.0,0.319,0.147,574595,725973,67218,47505,0.0,1,0.0,1.0,1.0,0.94,0.967,0.899,1.0,0.41
105,13943,31,1,8,8,144.031,281,0,3.278318047523498e-08,0.025,0.012,359748,437392,33801,31345,0.059,1,0.342,0.868,0.873,0.241,0.564,0.433,1.0,0.505
99,10374,31,1,4,5,116.239,281,1,0.0,0.026,0.013,326987,433463,25275,31089,0.0,1,0.009,0.363,0.266,0.095,0.23,0.056,1.0,0.423
155,25859,45,3,8,31,165.942,120,0,2.2640316545963287e-05,0.036,0.127,316284,637856,26897,54036,0.201,0,0.5,0.999,0.722,0.068,0.69,0.72,0.538,0.533
107,10136,31,1,4,5,147.4,281,1,0.0,0.054,0.066,302360,434120,24607,31116,0.0,1,0.0,1.0,0.998,0.931,0.706,0.497,1.0,0.41
101,19261,37,1,8,20,120.015,129,0,2.7418136596679688e-12,0.297,0.157,1045675,672555,76899,56951,0.0,1,0.177,0.257,0.001,0.002,0.048,0.017,1.0,0.83
